dist,year,est,se,wnobs,nobs
0_10mi,05_06,0.00487800490202813,0.0206085618315354,2132,12694
0_10mi,07_08,0.0459781425390453,0.0206834532353554,2196,13884
0_10mi,09_10,0.0306518666436472,0.0216415132996549,1968,11909
0_10mi,11_12,0.0399954288198698,0.0200308672348138,2344,13581
0_10mi,13_14,0.0307361500287341,0.0163716488158663,3225,20099
0_10mi,15+,0.0252262009306122,0.010013551764309,7752,46777
5_15mi,05_06,-0.0973412557614207,0.0250088033558304,1377,11966
5_15mi,07_08,-0.0765849862943164,0.025918834150776,1378,12894
5_15mi,09_10,-0.0810141270633016,0.0263243296216733,1360,11722
5_15mi,11_12,-0.043942036195823,0.0241789270759021,1683,14176
5_15mi,13_14,0.0239549706661964,0.0186963440065227,2487,20326
5_15mi,15+,-0.0205233342764312,0.0121969558847,5628,47342
10_20mi,05_06,-0.151062820870629,0.0280885009208047,1100,12063
10_20mi,07_08,-0.0847718069838602,0.029836259091571,1023,12757
10_20mi,09_10,-0.111090516587408,0.0288105053951042,1038,11547
10_20mi,11_12,-0.103194509273042,0.0275424845760072,1390,14015
10_20mi,13_14,-0.0198268611377331,0.0210833561096195,2105,20105
10_20mi,15+,-0.0599702005017207,0.0132668878425619,4993,46940
