dist,year,est,se,wnobs,nobs
0_10mi,05_06,-0.00170950847238364,0.00784848936575411,6203,57520
0_10mi,07_08,0.0202698198312536,0.00999959014166857,5011,46865
0_10mi,09_10,0.0278327718498217,0.0105631079417666,4455,44038
0_10mi,11_12,0.0098272232529114,0.00917804578919247,6400,53003
0_10mi,13_14,0.01686601285887,0.00738337486411648,9445,78996
0_10mi,15+,-0.00821583759691139,0.00490700920894307,19462,163964
5_15mi,05_06,-0.13270829799469,0.0076428122876314,6618,72356
5_15mi,07_08,-0.131332854829501,0.00964622208415396,5173,58259
5_15mi,09_10,-0.0482347504270434,0.0113184770950704,4850,57900
5_15mi,11_12,-0.0166379573671798,0.0102329959681111,6634,70103
5_15mi,13_14,-0.0518875818103733,0.0085658264834879,9213,103875
5_15mi,15+,-0.0994062985559659,0.00545516760623316,19154,217428
10_20mi,05_06,-0.239796514015208,0.00791260202102533,6549,82428
10_20mi,07_08,-0.252424384971905,0.00986133037545277,4870,65853
10_20mi,09_10,-0.159324553027542,0.0118504497845804,4575,65317
10_20mi,11_12,-0.0496348060116779,0.0110917776024863,6166,79979
10_20mi,13_14,-0.150048157968965,0.0102894332209937,8356,117309
10_20mi,15+,-0.132585837517086,0.00589360850907328,17954,245464
