dist,year,est,se,wnobs,nobs
0_10mi,05_06,-0.0900011543441639,0.0252720817213023,718,14109
0_10mi,07_08,-0.0659135091363182,0.0275475907014341,761,14254
0_10mi,09_10,0.0345709084514845,0.0285219703948207,763,13071
0_10mi,11_12,-0.0170729745568219,0.0260389282622095,976,16266
0_10mi,13_14,0.000138801146606119,0.0199305807374132,1492,23237
0_10mi,15+,0.00141773717797912,0.01386420339506,3621,52505
5_15mi,05_06,-0.0627827756118071,0.0403704575339881,393,22084
5_15mi,07_08,-0.108365969732684,0.0478507350494551,422,22138
5_15mi,09_10,0.0308160868237863,0.0442740151621566,470,20551
5_15mi,11_12,-0.00361590213958701,0.0425133430764705,605,24113
5_15mi,13_14,0.0158055615325758,0.0305182540339066,903,34306
5_15mi,15+,0.0481506712760964,0.0200948777909593,2195,75341
10_20mi,05_06,-0.0092261748084503,0.0434607466233878,385,27860
10_20mi,07_08,-0.0897102757880577,0.047520248719664,410,28024
10_20mi,09_10,0.106967588473333,0.045042243619919,454,26087
10_20mi,11_12,-0.000530549585369035,0.0456531272206702,612,28867
10_20mi,13_14,-0.0404667062362205,0.0312652720413056,919,42194
10_20mi,15+,0.0378392113276762,0.0197157315942665,2198,94536
