dist,year,est,se
0_10mi,05_06,-0.0903605934016145,0.0252710616566458
0_10mi,07_08,-0.0659135091363182,0.0275475907014341
0_10mi,09_10,0.034875544940358,0.0285150141851417
0_10mi,11_12,-0.0170729745568219,0.0260389282622095
0_10mi,13_14,0.000138801146606119,0.0199301265624202
0_10mi,15+,0.00130960069553252,0.0138629638318475
5_15mi,05_06,-0.0648462112764797,0.0403093780934967
5_15mi,07_08,-0.108365969732684,0.0478507350494551
5_15mi,09_10,0.0308160868237863,0.0442740151621566
5_15mi,11_12,-0.00361590213958701,0.0425133430764705
5_15mi,13_14,0.0158055615325758,0.0305182540339066
5_15mi,15+,0.048021629146081,0.0200968337441923
10_20mi,05_06,-0.0092261748084503,0.0434607466233878
10_20mi,07_08,-0.0865890735772611,0.0473649606346737
10_20mi,09_10,0.106967588473333,0.045042243619919
10_20mi,11_12,-0.000530549585369035,0.0456531272206702
10_20mi,13_14,-0.0404667062362205,0.0312652720413056
10_20mi,15+,0.0380669837196784,0.0197149201370394
