dist,year,est,se,wnobs,nobs
0_10mi,05_06,0.00791496067610702,0.0272637850467285,869,14505
0_10mi,07_08,-0.0390523006054776,0.0268409257634848,818,14115
0_10mi,09_10,0.0905113660175312,0.031836234200241,794,12265
0_10mi,11_12,0.0355922041787512,0.0242604587672777,1478,16287
0_10mi,13_14,0.0265879744730358,0.0173021895154161,2698,24841
0_10mi,15+,0.00282190237199532,0.010248368239502,6037,54633
5_15mi,05_06,0.11795112843804,0.032423399110068,647,14950
5_15mi,07_08,0.10509751548002,0.0352304018314635,626,15979
5_15mi,09_10,0.0742658819708687,0.0362958496836724,697,14195
5_15mi,11_12,0.212428109440175,0.0296387950515018,1164,18411
5_15mi,13_14,-0.157856793512971,0.0299081978923701,1863,27359
5_15mi,15+,0.0432418808478436,0.0135425255331011,4267,60060
10_20mi,05_06,0.0671323659241036,0.0290059469950605,868,16131
10_20mi,07_08,0.0435302421504897,0.0355058496641756,690,16882
10_20mi,09_10,0.0273462348281515,0.035390955133347,749,14918
10_20mi,11_12,0.287401163777379,0.0263648298818563,1434,20057
10_20mi,13_14,-0.35536129208062,0.0364009355702671,1956,30384
10_20mi,15+,0.144328509473909,0.0142010317533283,4215,67340
