dist,year,est,se,wnobs,nobs
0_10mi,05_06,-0.0329947551981138,0.00746566606561928,7731,83451
0_10mi,07_08,-0.0317991087661062,0.00943505030953935,5669,67086
0_10mi,09_10,0.00860138955872205,0.0101239714014346,5260,62082
0_10mi,11_12,-0.0127955109429223,0.00961590575845009,6297,72415
0_10mi,13_14,-0.00718547739827621,0.0081979851086595,8712,104295
0_10mi,15+,-0.034819827466607,0.00512013285042209,19079,226604
5_15mi,05_06,-0.120364484543462,0.00731344074225316,8267,135241
5_15mi,07_08,-0.137668895958811,0.00941202009563215,6027,112220
5_15mi,09_10,-0.0412960571148367,0.0106403447260668,5754,105545
5_15mi,11_12,-0.0458820909443949,0.0103590984556926,6675,119954
5_15mi,13_14,-0.0422798623111318,0.00861678247930834,9026,176351
5_15mi,15+,-0.100551845047116,0.00543264143425604,19668,378939
10_20mi,05_06,-0.203832641736297,0.00762212892309262,8273,169772
10_20mi,07_08,-0.223378862690197,0.00927874774670523,5930,138920
10_20mi,09_10,-0.124066289701442,0.0104862244686884,5759,130727
10_20mi,11_12,-0.108191544648748,0.0103818403686461,6529,150441
10_20mi,13_14,-0.123745741596347,0.00862297364755533,8877,221740
10_20mi,15+,-0.17356040713491,0.00544096941310762,19262,476781
