dist,year,est,se,wnobs,nobs
0_10mi,05_06,-0.0845820261428001,0.0144502733065153,3372,42620
0_10mi,07_08,-0.0477494348824387,0.0143370538656372,3602,41963
0_10mi,09_10,-0.0131601414796882,0.0144770465380228,3320,39376
0_10mi,11_12,-0.0174028950138729,0.0142923501763334,3692,44806
0_10mi,13_14,-0.0145940813487331,0.0116681169729752,4960,64252
0_10mi,15+,-0.0367547131275727,0.00769622254008719,11040,141249
5_15mi,05_06,-0.131408715895263,0.0160392809146206,3012,74146
5_15mi,07_08,-0.110410442648593,0.0156655639185934,3140,70259
5_15mi,09_10,-0.0779495591624235,0.0157529732648418,2966,66424
5_15mi,11_12,-0.0507026753013267,0.0161479514181141,3333,75798
5_15mi,13_14,-0.0224157514133177,0.0131212253104211,4396,109824
5_15mi,15+,-0.0563513224692322,0.00848786688731165,9822,238399
10_20mi,05_06,-0.130878358255279,0.0155684373715498,2958,94467
10_20mi,07_08,-0.127842893140084,0.0159256290870012,3078,88449
10_20mi,09_10,-0.0664102064705923,0.0160458529167046,2905,80865
10_20mi,11_12,-0.0576222782260996,0.0166572201359839,3290,91969
10_20mi,13_14,-0.0396498566276482,0.0133193178442574,4366,135252
10_20mi,15+,-0.0522784424822409,0.00854094905632141,9720,299072
