dist,year,est,se,wnobs,nobs
0_10mi,05_06,-0.0303234530785117,0.00794055129703241,8089,69868
0_10mi,07_08,-0.0319388059070918,0.00981570447780678,5654,51901
0_10mi,09_10,0.0126448142088644,0.0105920327981172,5293,48003
0_10mi,11_12,-0.0148775469354553,0.00961494492449762,7306,57399
0_10mi,13_14,-0.0132664036372841,0.00782606172126604,10501,84359
0_10mi,15+,-0.043563234289232,0.00483560187521418,23417,186556
5_15mi,05_06,-0.125804046726231,0.00748670260428848,8877,96043
5_15mi,07_08,-0.130953513953843,0.00967592399244067,6197,74396
5_15mi,09_10,-0.026031807656163,0.0105908540564112,6025,70805
5_15mi,11_12,-0.040362964904053,0.00988161555593488,7935,81831
5_15mi,13_14,-0.0680829856736306,0.00855023898900473,10693,120440
5_15mi,15+,-0.116679266622517,0.00510845755850047,24096,260369
10_20mi,05_06,-0.221744451849661,0.00755398704812442,8975,114603
10_20mi,07_08,-0.229451212493392,0.00961906217362659,6194,88160
10_20mi,09_10,-0.118036699997036,0.0107052857106904,6104,85801
10_20mi,11_12,-0.0805458414251928,0.0100845909020622,7955,101596
10_20mi,13_14,-0.157328751546621,0.00904746089608041,10669,147941
10_20mi,15+,-0.159067880330176,0.00523921982936367,23775,315240
