dist,year,est,se,wnobs,nobs
0_10mi,05_06,0.0192884564992765,0.148751751648113,63,1468
0_10mi,07_08,0.124468047917994,0.127674835774631,77,1308
0_10mi,09_10,0.258956308003593,0.141232962772086,61,1204
0_10mi,11_12,0.039038766525813,0.128830578467218,91,1535
0_10mi,13_14,0.321998964679235,0.102269242184791,123,2226
0_10mi,15+,-0.0502594855176618,0.0754785876561094,266,4838
5_15mi,05_06,-0.0485967554226872,0.247532756057638,40,1408
5_15mi,07_08,0.113400854320035,0.179370181913104,51,1287
5_15mi,09_10,0.0661916100254032,0.20999271502767,40,1183
5_15mi,11_12,-0.268275943705739,0.142557992789103,61,1587
5_15mi,13_14,0.0371540129760833,0.1254564514223,98,2307
5_15mi,15+,-0.184766688569682,0.0855177198803549,241,5158
10_20mi,05_06,-0.304799982693558,0.162269859130824,56,1164
10_20mi,07_08,-0.0147421581954786,0.16318089834488,53,1047
10_20mi,09_10,-0.462491214417634,0.154185966564575,52,959
10_20mi,11_12,-0.386828151599381,0.148473496768766,70,1350
10_20mi,13_14,-0.198859376371723,0.088310627842004,135,2054
10_20mi,15+,-0.25820501984613,0.0654823401928083,288,4665
