dist,year,est,se,wnobs,nobs
0_10mi,05_06,-0.0668700562802648,0.0146626824810799,3927,40765
0_10mi,07_08,-0.0534178795297663,0.0157197242310524,3202,37072
0_10mi,09_10,-0.0140679712812348,0.0153862282770995,3088,34036
0_10mi,11_12,-0.00203349916984938,0.0152298133090688,3625,38421
0_10mi,13_14,-0.0337158144553771,0.0127260060170857,5060,55446
0_10mi,15+,-0.0357117424913641,0.00787751917557631,11107,122839
5_15mi,05_06,-0.108414734510487,0.0139966166811955,3967,69759
5_15mi,07_08,-0.0849798919409089,0.0161630327392211,3172,62160
5_15mi,09_10,-0.0509804637125256,0.0158011148632114,3061,57147
5_15mi,11_12,-0.0635292453616165,0.0151840724848183,3570,62984
5_15mi,13_14,-0.0577726760892308,0.0128576868617805,5000,92827
5_15mi,15+,-0.0888700858538258,0.00780801514762883,11051,201357
10_20mi,05_06,-0.160321610166525,0.0144448518425842,3968,87486
10_20mi,07_08,-0.120065619172963,0.0164255051136585,3160,74568
10_20mi,09_10,-0.0666660450552436,0.0163352938544507,3027,68549
10_20mi,11_12,-0.0862762880899412,0.015719434086263,3555,79171
10_20mi,13_14,-0.0862853060776121,0.0128159829777656,4982,118323
10_20mi,15+,-0.138040326200411,0.00802045678725506,11003,255846
