dist,year,est,se
0_10mi,05_06,-0.0696214671466866,0.0159130436290705
0_10mi,07_08,-0.0227169172903947,0.0153741516472526
0_10mi,09_10,-0.0257423836728632,0.0158887174593475
0_10mi,11_12,0.000156257552207694,0.0157948713345337
0_10mi,13_14,-0.00656452637735498,0.0131092188318611
0_10mi,15+,-0.0169181201375966,0.00845236624285123
5_15mi,05_06,-0.139334724071854,0.0166327929634095
5_15mi,07_08,-0.108221423137047,0.0156654350493881
5_15mi,09_10,-0.103455962977087,0.0162862917560739
5_15mi,11_12,-0.0466404032571019,0.0163938834940261
5_15mi,13_14,-0.0184048963363727,0.0134688656750512
5_15mi,15+,-0.061384545488717,0.00854357303909527
10_20mi,05_06,-0.147248329434601,0.0161691200082718
10_20mi,07_08,-0.116288044117116,0.0160131888709351
10_20mi,09_10,-0.0766464791931962,0.0167898074064711
10_20mi,11_12,-0.0506342894523541,0.016805942728424
10_20mi,13_14,-0.014860070029743,0.0139209338057064
10_20mi,15+,-0.0444759842038635,0.00881486051675045
