"",2015-2019 ACS Est,2015-2019 ACS MOE
National,272000,253
Metropolitan (RUCA 1-3),259000,323
Micropolitan (RUCA 4-6),155000,367
Rural (RUCA 7-10),144000,384
Northeast,340000,1040
Midwest,175000,202
South,206000,252
West,433000,640
ReConnect Regions,133,671
ReConnect Metropolitan,162,1460
ReConnect Micropolitan,128,1380
ReConnect Rural,118,920
ReConnect Northeast,182,1490
ReConnect Midwest,129,949
ReConnect South,128,1220
ReConnect West,191,3950
ReConnect Round 1,125,865
ReConnect Round 2,142,1040
In RC and Fiber,134,839
In RC and Fiber plus,111,1550
In RC and Non-fiber,142,1410
In RC Approved,133,1130
In RC Rejected,134,843
In RC Withdrawn,126,3140
