"",2015-2019 ACS Est,2015-2019 ACS MOE
National,0.355,0.000283
Metropolitan (RUCA 1-3),0.353,0.000344
Micropolitan (RUCA 4-6),0.32,0.00109
Rural (RUCA 7-10),0.267,0.000992
Northeast,0.375,0.000661
Midwest,0.314,0.000535
South,0.342,0.000485
West,0.397,0.000607
ReConnect Regions,0.245,0.00226
ReConnect Metropolitan,0.21,0.00389
ReConnect Micropolitan,0.273,0.00533
ReConnect Rural,0.26,0.00347
ReConnect Northeast,0.24,0.00506
ReConnect Midwest,0.237,0.00354
ReConnect South,0.253,0.00382
ReConnect West,0.267,0.00993
ReConnect Round 1,0.257,0.00309
ReConnect Round 2,0.232,0.00331
In RC and Fiber,0.24,0.00251
In RC and Fiber plus,0.272,0.0073
In RC and Non-fiber,0.244,0.005
In RC Approved,0.228,0.0034
In RC Rejected,0.254,0.00292
In RC Withdrawn,0.209,0.00977
