"",2015-2019 ACS Est,2015-2019 ACS MOE
National,0.0552,0.000158
Metropolitan (RUCA 1-3),0.0536,0.000188
Micropolitan (RUCA 4-6),0.0563,0.000553
Rural (RUCA 7-10),0.0535,0.000606
Northeast,0.0546,0.000374
Midwest,0.0507,0.000287
South,0.0563,0.000267
West,0.0578,0.000348
ReConnect Regions,0.0549,0.00131
ReConnect Metropolitan,0.0482,0.00227
ReConnect Micropolitan,0.0554,0.00296
ReConnect Rural,0.0537,0.00194
ReConnect Northeast,0.0432,0.00356
ReConnect Midwest,0.0399,0.00165
ReConnect South,0.0635,0.00233
ReConnect West,0.0616,0.0046
ReConnect Round 1,0.0531,0.00164
ReConnect Round 2,0.0568,0.00209
In RC and Fiber,0.0579,0.00155
In RC and Fiber plus,0.0467,0.00369
In RC and Non-fiber,0.0523,0.00287
In RC Approved,0.0573,0.00223
In RC Rejected,0.0533,0.00163
In RC Withdrawn,0.0646,0.00694
