"",2015-2019 ACS Est,2015-2019 ACS MOE
National,0.179,0.000215
Metropolitan (RUCA 1-3),0.16,0.000265
Micropolitan (RUCA 4-6),0.099,0.000584
Rural (RUCA 7-10),0.0678,0.000486
Northeast,0.144,0.000501
Midwest,0.0784,0.000322
South,0.177,0.000365
West,0.298,0.000514
ReConnect Regions,0.076,0.00134
ReConnect Metropolitan,0.0806,0.0023
ReConnect Micropolitan,0.0893,0.00339
ReConnect Rural,0.0652,0.00194
ReConnect Northeast,0.0176,0.00144
ReConnect Midwest,0.0451,0.00185
ReConnect South,0.111,0.00251
ReConnect West,0.221,0.0072
ReConnect Round 1,0.0734,0.00192
ReConnect Round 2,0.0788,0.00185
In RC and Fiber,0.0735,0.00147
In RC and Fiber plus,0.106,0.00456
In RC and Non-fiber,0.0685,0.00296
In RC Approved,0.0579,0.00177
In RC Rejected,0.0846,0.00179
In RC Withdrawn,0.0484,0.00417
