Level,renters 2019 ACS Est,renters 2019 ACS MOE,hs_or_less 2019 ACS Est,hs_or_less 2019 ACS MOE,poverty 2019 ACS Est,poverty 2019 ACS MOE,age_65_older 2019 ACS Est,age_65_older 2019 ACS MOE,hispanic 2019 ACS Est,hispanic 2019 ACS MOE,black 2019 ACS Est,black 2019 ACS MOE,foreign 2019 ACS Est,foreign 2019 ACS MOE,unemployment 2019 ACS Est,unemployment 2019 ACS MOE,family 2019 ACS Est,family 2019 ACS MOE,median_income 2019 ACS Est,median_income 2019 ACS MOE,median_value 2019 ACS Est,median_value 2019 ACS MOE
National,0.355,0.000283,0.393,0.000471,0.136,0.000254,0.156,0.000124,0.179,0.000215,0.126,0.000178,0.135,0.000179,0.0552,0.000158,0.651,0.000245,68100,50.6,272000,253
Metropolitan (RUCA 1-3),0.353,0.000344,0.376,0.00065,0.131,0.000313,0.152,0.000154,0.16,0.000265,0.149,0.000238,0.135,0.000228,0.0536,0.000188,0.646,0.000306,70200,63.6,259000,323
Micropolitan (RUCA 4-6),0.32,0.00109,0.474,0.0013,0.166,0.000942,0.178,0.000444,0.099,0.000584,0.0882,0.000491,0.047,0.000406,0.0563,0.000553,0.648,0.000821,52000,135,155000,367
Rural (RUCA 7-10),0.267,0.000992,0.505,0.00151,0.158,0.000925,0.202,0.000474,0.0678,0.000486,0.07,0.000433,0.0329,0.00034,0.0535,0.000606,0.656,0.000795,50000,128,144000,384
Northeast,0.375,0.000661,0.393,0.000904,0.122,0.000557,0.167,0.000313,0.144,0.000501,0.119,0.000418,0.165,0.00045,0.0546,0.000374,0.639,0.000555,76600,141,340000,1040
Midwest,0.314,0.000535,0.388,0.00163,0.13,0.000492,0.16,0.000253,0.0784,0.000322,0.102,0.000317,0.0729,0.000289,0.0507,0.000287,0.634,0.000454,63700,84.3,175000,202
South,0.342,0.000485,0.413,0.000657,0.149,0.000456,0.155,0.000208,0.177,0.000365,0.191,0.000352,0.12,0.000302,0.0563,0.000267,0.658,0.000426,62500,79.6,206000,252
West,0.397,0.000607,0.364,0.000567,0.131,0.000512,0.146,0.00025,0.298,0.000514,0.0468,0.000271,0.195,0.000406,0.0578,0.000348,0.664,0.000529,75700,117,433000,640
ReConnect Regions,0.245,0.00226,0.493,0.00216,0.153,0.00216,0.187,0.00108,0.076,0.00134,0.106,0.00132,0.0329,0.00081,0.0549,0.00131,0.676,0.00189,51.6,290,133,671
ReConnect Metropolitan,0.21,0.00389,0.464,0.00385,0.131,0.00379,0.172,0.00194,0.0806,0.0023,0.0889,0.00222,0.035,0.00154,0.0482,0.00227,0.703,0.00361,58.8,587,162,1460
