Level,renters 2019 ACS Est,renters 2019 ACS MOE,hs_or_less 2019 ACS Est,hs_or_less 2019 ACS MOE,poverty 2019 ACS Est,poverty 2019 ACS MOE,age_65_older 2019 ACS Est,age_65_older 2019 ACS MOE,hispanic 2019 ACS Est,hispanic 2019 ACS MOE,black 2019 ACS Est,black 2019 ACS MOE,foreign 2019 ACS Est,foreign 2019 ACS MOE,unemployment 2019 ACS Est,unemployment 2019 ACS MOE,family 2019 ACS Est,family 2019 ACS MOE,median_income 2019 ACS Est,median_income 2019 ACS MOE,median_value 2019 ACS Est,median_value 2019 ACS MOE
ReConnect Micropolitan,0.273,0.00533,0.478,0.00492,0.16,0.00508,0.183,0.00236,0.0893,0.00339,0.137,0.0032,0.0375,0.00195,0.0554,0.00296,0.672,0.0042,50.7,651,128,1380
ReConnect Rural,0.26,0.00347,0.513,0.00332,0.158,0.00314,0.202,0.00168,0.0652,0.00194,0.102,0.0021,0.0296,0.00114,0.0537,0.00194,0.654,0.00283,48.1,394,118,920
ReConnect Northeast,0.24,0.00506,0.464,0.00509,0.115,0.00479,0.198,0.00293,0.0176,0.00144,0.00942,0.00085,0.026,0.00172,0.0432,0.00356,0.65,0.00367,58.3,725,182,1490
ReConnect Midwest,0.237,0.00354,0.438,0.00341,0.118,0.00294,0.184,0.00177,0.0451,0.00185,0.0225,0.00108,0.0214,0.00115,0.0399,0.00165,0.679,0.00284,55.8,439,129,949
ReConnect South,0.253,0.00382,0.529,0.00363,0.18,0.00386,0.185,0.00173,0.111,0.00251,0.199,0.00277,0.0437,0.00151,0.0635,0.00233,0.678,0.00334,48.2,503,128,1220
ReConnect West,0.267,0.00993,0.472,0.00867,0.147,0.00869,0.172,0.00411,0.221,0.0072,0.00344,0.000776,0.0818,0.00355,0.0616,0.0046,0.69,0.00817,55.3,1170,191,3950
ReConnect Round 1,0.257,0.00309,0.498,0.00289,0.152,0.00283,0.185,0.00143,0.0734,0.00192,0.093,0.00152,0.031,0.00113,0.0531,0.00164,0.681,0.00246,51.3,393,125,865
ReConnect Round 2,0.232,0.00331,0.487,0.00324,0.155,0.00331,0.188,0.00162,0.0788,0.00185,0.121,0.0022,0.035,0.00117,0.0568,0.00209,0.67,0.0029,51.9,430,142,1040
In RC and Fiber,0.24,0.00251,0.513,0.00245,0.16,0.00253,0.184,0.00119,0.0735,0.00147,0.124,0.0016,0.031,0.000881,0.0579,0.00155,0.683,0.0022,51.1,339,134,839
In RC and Fiber plus,0.272,0.0073,0.406,0.00643,0.132,0.00641,0.186,0.00351,0.106,0.00456,0.0187,0.00195,0.0359,0.00288,0.0467,0.00369,0.665,0.00585,53.6,836,111,1550
In RC and Non-fiber,0.244,0.005,0.489,0.00482,0.149,0.00469,0.191,0.00242,0.0685,0.00296,0.106,0.00309,0.0355,0.00178,0.0523,0.00287,0.666,0.00398,51.8,623,142,1410
In RC Approved,0.228,0.0034,0.5,0.00332,0.154,0.00338,0.193,0.00168,0.0579,0.00177,0.121,0.00222,0.0268,0.0012,0.0573,0.00223,0.681,0.00305,51.5,453,133,1130
In RC Rejected,0.254,0.00292,0.485,0.00278,0.153,0.00275,0.185,0.00139,0.0846,0.00179,0.0988,0.00163,0.0359,0.00106,0.0533,0.00163,0.673,0.0024,51.7,369,134,843
In RC Withdrawn,0.209,0.00977,0.553,0.00899,0.157,0.0106,0.182,0.00435,0.0484,0.00417,0.132,0.0076,0.0227,0.00291,0.0646,0.00694,0.695,0.00898,50.6,1460,126,3140
In RC 2nd Chance,0.235,0.00875,0.531,0.00696,0.178,0.0093,0.193,0.00339,0.16,0.0051,0.108,0.00361,0.0589,0.00471,0.0655,0.00671,0.665,0.00572,48.2,792,125,1960
